<a>,0
<article>,1
<b>,2
<br>,3
<caption>,4
<center>,5
<cite>,6
<col>,7
<datalist>,8
<dd>,9
<details>,a
<dialog>,b
<dir>,c
<div>,d
<dl>,e
<dt>,f
<em>,g
<figcaption>,h
<figure>,i
<font>,j
<footer>,k
<form>,l
<frame>,m
<h1>,n
<header>,o
<hr>,p
<i>,q
<img>,r
<ins>,s
<label>,t
<li>,u
<link>,v
<map>,w
<ol>,x
<option>,y
<p>,z
<param>,A
<q>,B
<rp>,C
<rt>,D
<s>,E
<section>,F
<small>,G
<span>,H
<strong>,I
<style>,J
<sub>,K
<summary>,L
<sup>,M
<table>,N
<tbody>,O
<td>,P
<textarea>,Q
<tfoot>,R
<th>,S
<thead>,T
<title>,U
<tr>,V
<tt>,W
<u>,X
<ul>,Y
<h2>,Z
<h3>,!
<h4>,@
<h5>,£
<h6>,$
